Depth,SiteName,Big Dig Site Code,Latitude,Longitude,Elevation,SO,FT,CP,P,Depth,Interval,Car %?,Nit,Phos,BicarP,NaOHP,pH,water,bio.nmol,bio,bio.C,AG,AG.bio,AG.C,BG,BG.bio,BG.C,BX,BX.bio,BX.C,CBH,CBH.bio,CBH.C,NAG,NAG.bio,NAG.C,AP,AP.bio,AP.C,Cenz,Cenz.bio,logNCEnz,logCPEnz,logNPEnz,EnzTotal,EnzTotal.bio,Act,AMF,Ana,Euk,Fung,GramN,GramP,Gen,Act.nor,AMF.nor,Ana.nor,Euk.nor,Fung.nor,GramN.nor,GramP.nor,Bact.total,Fung.total
140,CODYS-4-MS slope,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,slope,P2,140,30,0.13,0.01,6.91,0.822,5.688,5.1,0.23,0.41,0.09,0.67,12.73,144.9,94.82,9.83,111.89,73.22,11.74,133.63,87.44,7.11,80.93,52.96,0.12,1.37,0.89,158.93,1809,1183.76,41.41,471.34,0.03,0.738,0.022,200.46,490.55,0,0,0,0,0,0,0.063,0.025,0,0,0,0,0,0,1,0.063,0
0,CODYS-5-MS valley,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,valley,P3,0,0,5.47,0.22,101.68,18.66,79.29,4.1,0.74,375.02,81.93,14.98,47.49,0.58,8.68,1148.31,14.02,209.93,208.55,2.55,38.13,241.91,2.95,44.22,166.75,2.04,30.48,2780.13,33.93,508.25,1646.25,20.09,0.692,0.934,0.646,4593.13,12.25,7.382,2.256,0.105,2.313,2.19,30.416,12.53,24.741,0.133,0.043,0.002,0.033,0.037,0.515,0.237,50.433,4.447
20,CODYS-5-MS valley,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,valley,P3,20,20,6.53,0.28,63.75,10.5975,50.835,3.8,0.67,167.15,37.49,5.74,7.13,0.19,1.09,120.18,3.21,18.4,57.88,1.54,8.86,22.71,0.61,3.48,83.98,2.24,12.86,1674.11,44.66,256.37,207.9,5.55,0.832,0.72,0.598,1965.99,11.76,4.46,1.087,0,2.398,0.202,13.302,7.031,9.009,0.163,0.042,0,0.068,0.007,0.457,0.263,24.792,1.289
50,CODYS-5-MS valley,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,valley,P3,50,30,5.08,0.19,26.66,3.945,20.76,4,0.48,76.06,16.95,3.34,12.11,0.71,2.38,101.92,6.01,20.06,45.19,2.67,8.9,16.88,1,3.32,13.95,0.82,2.75,725.73,42.83,142.86,176.11,10.39,0.522,0.786,0.411,915.79,12.04,2.3,0.409,0,1.194,0.093,4.937,3.923,4.091,0.186,0.035,0,0.075,0.007,0.372,0.325,11.159,0.502
80,CODYS-5-MS valley,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,valley,P3,80,30,5.06,0.17,31.43,4.935,25.5075,3.7,0.44,65.27,15.11,2.99,3.89,0.26,0.77,34.33,2.27,6.78,11.91,0.79,2.35,3.89,0.26,0.77,29.09,1.92,5.75,390.48,25.84,77.17,54.02,3.57,0.849,0.671,0.57,473.59,7.26,1.518,0.158,0.138,2.173,0,3.707,3.859,3.56,0.142,0.015,0.012,0.155,0,0.327,0.348,9.222,0.158
110,CODYS-5-MS valley,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,valley,P3,110,30,2.72,0.11,45.84,3.915,41.145,-6999,0.46,109.61,23.36,8.58,1.56,0.07,0.57,11.06,0.47,4.06,9.02,0.39,3.31,1.7,0.07,0.62,9.8,0.42,3.6,360.33,15.43,132.4,23.33,1,0.746,0.542,0.404,393.46,3.59,4.476,0.362,0.057,0.752,0.032,4.856,7.794,5.03,0.244,0.021,0.003,0.039,0.002,0.248,0.444,17.182,0.394
140,CODYS-5-MS valley,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,valley,P3,140,30,2.9,0.14,41.96,6.825,30.735,-6999,0.39,32.89,7.11,2.45,1.58,0.22,0.54,33.02,4.64,11.38,10.18,1.43,3.51,6.67,0.94,2.3,31.13,4.38,10.73,282.15,39.67,97.23,51.45,7.23,0.876,0.701,0.615,364.73,11.09,1.026,0.109,0.027,0.332,0,1.807,2.046,1.765,0.195,0.022,0.004,0.057,0,0.319,0.402,4.906,0.109
0,TABDYS-2-MS ridge,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,ridge,P4,0,0,5.69,0.48,362.48,39.99,305.79,4.9,0.56,610.17,131.45,23.1,30.59,0.23,5.38,1230.87,9.36,216.32,355.01,2.7,62.39,244.91,1.86,43.04,1590.35,12.1,279.5,4194.57,31.91,737.18,1861.38,14.16,0.979,0.903,0.884,7646.3,12.53,15.66,4.07,0.188,1.519,1.062,53.695,28.771,26.484,0.152,0.041,0.002,0.013,0.01,0.485,0.297,98.314,5.132
20,TABDYS-2-MS ridge,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,ridge,P4,20,20,2.85,0.27,170.55,16.95,150.21,4.3,0.32,234.52,50.54,17.73,24.89,0.49,8.73,284.43,5.63,99.8,211.33,4.18,74.15,61.71,1.22,21.65,124.45,2.46,43.67,1096.6,21.7,384.77,582.35,11.52,0.759,0.91,0.69,1803.4,7.69,8.238,1.173,0.204,0.583,0.245,17.247,14.007,8.845,0.2,0.03,0.005,0.012,0.006,0.386,0.362,39.696,1.418
50,TABDYS-2-MS ridge,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,ridge,P4,50,30,1.16,0.11,68.74,2.5575,65.37,4.7,0.22,60.05,12.81,11.04,9.12,0.71,7.86,97.04,7.57,83.66,42.77,3.34,36.87,8.34,0.65,7.19,34.94,2.73,30.12,298.83,23.33,257.61,157.28,12.28,0.707,0.888,0.628,491.05,8.18,2.731,0.223,0.02,0.106,0.103,3.22,4.028,2.38,0.261,0.022,0.002,0.01,0.009,0.288,0.408,9.999,0.325
